what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331043160141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331043189521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331043194880
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1331043222772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331043231171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331043235564
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1331043243485
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1331043247945
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1331043266906
activated,editor,com.aptana.ide.editor.js,2.0.0.1278523018,"com.aptana.ide.editors.JSEditor",1331043269624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331043271014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331043800821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331043834922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331043852817
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1331043855019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331043898703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331043899909
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1331043900572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1331043924363
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1331043936993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1331043942964
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1331043956921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1331044004144
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1331044013099
activated,editor,com.aptana.ide.editor.js,2.0.0.1278523018,"com.aptana.ide.editors.JSEditor",1331044015498
activated,editor,com.aptana.ide.editor.css,2.0.0.1257380403,"com.aptana.ide.editors.CSSEditor",1331044095860
started,bundle,com.aptana.ide.index.core,2.0.0.1278614541,"com.aptana.ide.index.core",1331044105928
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1331044111757
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1331044114082
activated,editor,com.aptana.ide.editor.css,2.0.0.1257380403,"com.aptana.ide.editors.CSSEditor",1331044115652
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1331044116332
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1331044151787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1331044192144
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1331044194602
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1331044212708
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1331044213223
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1331044213780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331044249973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331044256521
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331044256839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331044266750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331044271931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331044272631
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331044277055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331044285928
activated,editor,com.aptana.ide.editor.css,2.0.0.1257380403,"com.aptana.ide.editors.CSSEditor",1331044285947
