what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331034886717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331034889937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331034897881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331034936575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331034941719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331034964135
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1331034982994
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1331034983018
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1331034985847
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1331034994732
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1331035014775
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1331035045823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331035058626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331035125328
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1331035125346
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1331035128935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331035150730
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331035198681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331035201768
started,bundle,com.aptana.ide.ui.io,2.0.5.1278614541,"com.aptana.ide.ui.io",1331035227677
started,bundle,com.aptana.ide.ssh,2.0.0.1254960199,"com.aptana.ide.ssh",1331035231730
started,bundle,com.aptana.ide.logging,2.0.0.1278523018,"com.aptana.ide.logging",1331035236302
started,bundle,org.eclipse.datatools.connectivity,1.2.4.v201202041105,"org.eclipse.datatools.connectivity",1331035315950
started,bundle,org.eclipse.datatools.connectivity.ui,1.2.2.v201111190813,"org.eclipse.datatools.connectivity.ui",1331035315973
started,bundle,com.aptana.ide.editor.yaml,2.0.0.1255038335,"com.aptana.ide.editor.yaml",1331035316983
closed,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1331035351781
