what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332250974136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332250976339
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1332250976346
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1332250977026
executed,command,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors.nextMultipageEditorTab",1332250980582
executed,command,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors.nextMultipageEditorTab",1332250982272
executed,command,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors.nextMultipageEditorTab",1332250984859
activated,editor,com.aptana.ide.editor.css,2.0.0.1257380403,"com.aptana.ide.editors.CSSEditor",1332250987043
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1332250988431
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332250991755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332250999405
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1332251001058
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1332251003316
activated,editor,com.aptana.ide.editor.css,2.0.0.1257380403,"com.aptana.ide.editors.CSSEditor",1332251004202
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1332251013907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332251020527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332251021976
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1332251021993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1332251028915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332251032704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332251034215
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1332251034225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332251036328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332251037786
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1332251037802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332251047510
opened,editor,com.aptana.ide.editor.css,2.0.0.1257380403,"com.aptana.ide.editors.CSSEditor",1332251055935
activated,editor,com.aptana.ide.editor.css,2.0.0.1257380403,"com.aptana.ide.editors.CSSEditor",1332251056005
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332251056154
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1332251056168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332251058688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332251081907
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1332251086444
executed,command,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors.nextMultipageEditorTab",1332251087202
activated,editor,com.aptana.ide.editor.css,2.0.0.1257380403,"com.aptana.ide.editors.CSSEditor",1332251088420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332251100888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332251110389
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332251113264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332251124869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332251138538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332251144274
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1332251161934
executed,command,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors.nextMultipageEditorTab",1332251163177
executed,command,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors.nextMultipageEditorTab",1332251164070
executed,command,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors.nextMultipageEditorTab",1332251165686
executed,command,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors.nextMultipageEditorTab",1332251168094
executed,command,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors.nextMultipageEditorTab",1332251169058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332251172303
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332251203675
