what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.server.core,1.2.202.v20110419,"org.eclipse.jst.server.core",1331002093412
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1331002093414
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331002094474
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1331002103185
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1331002110109
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1331002118157
error,log,,,"Port 8080 required by J2EE Preview at localhost is already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1331002121374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331002121499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331002129277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331002133173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331002141028
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1331002144734
error,log,,,"Port 8080 required by J2EE Preview at localhost is already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1331002147255
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331002147286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331002150123
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1331002151576
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1331002153706
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1331002153706
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1331002156526
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1331002157895
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1331002168126
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1331002169321
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1331002173351
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1331002184842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331002201666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331002231419
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1331002231438
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1331002236259
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1331002241714
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1331002245284
error,log,,,"Port 8080 required by J2EE Preview at localhost is already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1331002247825
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331002247856
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331002250688
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331002257043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331002257289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1331002257303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331002260344
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.301.v20111010_1242,"org.eclipse.jst.server.tomcat.core",1331002272026
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1331002272088
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331002291304
