what,kind,bundleId,bundleVersion,description,time
java.vm.vendor,sysinfo,,,"Oracle Corporation",1330930450698
java.vm.version,sysinfo,,,"21.0-b17",1330930450698
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1330930451416
started,bundle,com.aptana.ide.documentation,2.0.0.1278523018,"com.aptana.ide.documentation",1330930452669
started,bundle,com.aptana.ide.samples.ui,2.0.0.1278614541,"com.aptana.ide.samples.ui",1330930452714
started,bundle,com.aptana.ide.update.portal,2.0.0.1278614541,"com.aptana.ide.update.portal",1330930452783
opened,editor,com.aptana.ide.server.portal,2.0.0.1278523018,"com.aptana.ide.server.portal.ui.MyAptanaEditor",1330930452792
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1330930452904
activated,editor,com.aptana.ide.server.portal,2.0.0.1278523018,"com.aptana.ide.server.portal.ui.MyAptanaEditor",1330930466490
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1330930466582
started,bundle,org.eclipse.eclipsemonkey.doms,2.0.0.1277749615,"org.eclipse.eclipsemonkey.doms",1330930466798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330930467053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330930468461
error,log,,,"文件提前结束。",1330930487463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330930745780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330930745910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330930746003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330930750330
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330930750563
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1330930751256
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1330930752029
