what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.7",1331030978853
java.vm.vendor,sysinfo,,,"Oracle Corporation",1331030978853
java.vm.version,sysinfo,,,"21.0-b17",1331030978853
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1331030981175
started,bundle,com.aptana.ide.server,2.0.0.1278523018,"com.aptana.ide.server",1331030986241
started,bundle,com.aptana.ide.documentation,2.0.0.1278523018,"com.aptana.ide.documentation",1331030991495
started,bundle,com.aptana.ide.samples.ui,2.0.0.1278614541,"com.aptana.ide.samples.ui",1331030991772
started,bundle,com.aptana.ide.update.portal,2.0.0.1278614541,"com.aptana.ide.update.portal",1331030992266
opened,editor,com.aptana.ide.server.portal,2.0.0.1278523018,"com.aptana.ide.server.portal.ui.MyAptanaEditor",1331030992339
started,bundle,org.eclipse.eclipsemonkey.doms,2.0.0.1277749615,"org.eclipse.eclipsemonkey.doms",1331030993516
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1331030993766
started,bundle,com.aptana.ide.server.core,2.0.0.1278523018,"com.aptana.ide.server.core",1331030994282
started,bundle,com.aptana.ide.server.ui,2.0.0.1278523018,"com.aptana.ide.server.ui",1331030996061
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1331031205443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331032220745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331032222619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331032233587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331032236838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331032317850
activated,editor,com.aptana.ide.server.portal,2.0.0.1278523018,"com.aptana.ide.server.portal.ui.MyAptanaEditor",1331032319767
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1331032319811
closed,editor,com.aptana.ide.server.portal,2.0.0.1278523018,"com.aptana.ide.server.portal.ui.MyAptanaEditor",1331032319852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331032321599
